Latin Name,Common Name,Habit,Height,Hardiness,Soil,Shade,Moisture,Edible,Medicinal,Other
Atractylodes lancea,Cang Zhu,Perennial,1.0,-,,LMH,SN,M,1,3,
Atriplex californica,"California Orach, California saltbush",Perennial,0.1,7-10,,LM,N,DM,3,0,
Atriplex coronata,Crownscale,Annual,0.4,-,,LM,N,DM,2,0,
Barbarea vulgaris,"Yellow Rocket, Garden yellowrocket",Perennial,0.4,5-9,,LMH,SN,M,3,1,0
Bassia scoparia,"Summer Cypress, Burningbush",Annual,0.3,5-9,,LM,N,M,2,2,1
Bauhinia thonningii,"Camel's foot tree, monkey bread",Tree,5.0,10-12,M,LMH,N,DM,3,2,3
Berberidopsis corallina,Coral Plant,Climber,5.0,7-10,M,LMH,FS,M,0,0,
Berberis asiatica,"Chutro, Rasanjan (Nep); marpyashi (Newa); Daruharidra, Darbi (Sans)",Shrub,3.5,7-10,M,LMH,FSN,DM,4,3,2
Berberis fendleri,Colorado Barberry,Shrub,1.5,5-9,,LMH,SN,DM,2,2,
Berula erecta,Cutleaf Waterparsnip,Perennial,1.0,3-7,,LMH,SN,MWe,1,1,
Billardiera scandens,Common Appleberry,Climber,3.0,7-10,,LM,SN,M,2,0,
12345678910...,1,2,3,4,5,6,7,8,9,10,...
Blackstonia perfoliata,Yellow Wort,Annual,0.5,-,,LM,N,DM,0,0,
Botrychium lunaria,Common Moonwort,Fern,0.1,-,,LMH,SN,DM,0,2,
Brassica juncea crispifolia,Curled Mustard,Annual,0.3,6-9,F,LMH,SN,M,4,2,
Brassica juncea integrifolia crispifolia,Curled Mustard,Annual,0.3,6-10,F,LMH,SN,M,4,2,2
Brassica napus,"Colza,  Rape",Annual/Biennial,1.2,6-9,,LMH,SN,M,3,2,
Brassica napus arvensis,Coleseed,Annual/Biennial,1.2,6-9,,LMH,SN,M,3,2,
Brassica oleracea alboglabra,Chinese Kale,Perennial,0.5,-,F,LMH,SN,M,3,0,
Brassica oleracea botrytis,Cauliflower,Biennial,0.8,3-10,,LMH,SN,M,4,0,3
Brassica oleracea capitata,"Cabbage,Ornamental Cabbage, Red Cabbage, Savoy  Cabbage",Biennial,0.8,7-11,M,LMH,SN,M,4,0,3
Brassica oleracea costata,Couve Tronchuda,Biennial,1.5,7-10,,LMH,SN,M,3,0,
Brassica oleracea sabellica,Curly Kale,Biennial/Perennial,0.9,-,,LMH,SN,M,4,0,
Brassica rapa narinosa,Chinese Savoy,Biennial,0.9,6-9,,LMH,SN,M,3,0,
Bromus carinatus,Californian Brome,Annual/Biennial,0.8,4-8,,LMH,SN,DM,1,0,1
Bromus tectorum,"Cheat Grass, Downy Brome",Annual,1.0,7-10,,LMH,N,DM,1,1,1
Bumelia lanuginosa,Chittamwood,Tree,15.0,5-9,,LMH,N,M,2,0,
Bunias erucago,"Corn Rocket, Crested wartycabbage",Annual/Biennial,0.6,6-9,,LMH,N,M,3,0,
Bunium ferulaceum,,Perennial,0.6,-,,LMH,N,M,2,0,
Bursaria spinosa,"Christmas Bush, Sweet Bursaria",Shrub,4.5,7-10,,M,N,M,0,2,3
Butia capitata,"Jelly Palm, South american jelly palm",Tree,6.0,9-11,S,LMH,SN,M,2,0,
Cacalia farfarifolia,,Perennial,1.2,-,,LMH,FS,M,1,0,
Caesalpinia decapetala,"Mysore Thorn, Shoofly",Shrub,3.0,7-10,,LMH,N,M,0,2,2
Caesalpinia digyna,"Teri pods, Udakiryaka",Shrub,10.0,10-12,F,LMH,N,M,2,2,4
Caesalpinia spinosa,"Spiny Holdback, Tara",Tree,6.0,9-11,F,LMH,SN,M,2,2,4
Cajanus cajan,"Pigeon Pea, Puerto Rico Bean, Gandul, Dhal, Congo Pea",Shrub,4.0,9-12,F,LMH,N,M,4,2,4
Cakile maritima,"Sea Rocket, European searocket",Annual,0.3,5-9,,L,N,M,2,0,
Calamintha sylvatica,"Calamint,  Woodland calamint",Perennial,0.6,5-9,,LM,SN,DM,3,2,
Calamus manan,Rotan Manau,Climber,100.0,10-12,F,LMH,SN,M,0,0,4
Calamus rotang,"Rattan, Rotang, Rattan Cane",Climber,25.0,11-12,F,LMH,SN,M,2,2,4
Calandrinia ciliata,"Redmaids, Fringed redmaids",Annual,0.3,0-0,,LM,N,DM,2,0,0
Calandrinia ciliata menziesii,Redmaids,Annual,0.1,-,,L,N,DM,2,0,
Calendula officinalis,"calendula, Pot Marigold",Annual,0.6,2-11,M,LMH,SN,M,3,5,4
Calicotome villosa,,Shrub,3.0,7-10,,LMH,N,DM,0,0,
Calligonum aphyllum,,Shrub,1.2,4-8,,LM,N,DM,2,0,
Callirhoe involucrata,"Poppy Mallow,  Purple poppymallow, Winecup, Finger Poppy Mallow",Perennial,0.2,4-8,M,L,N,DM,3,2,0
Callirhoe leiocarpa,Tall Poppy-Mallow,Annual,0.9,5-9,,L,N,DM,2,0,
Callistemon citrinus,"Crimson Bottlebrush, Red Bottlebrush, Lemon Bottlebrush",Shrub,4.5,8-11,M,LMH,N,DMWe,2,0,
Callitriche hermaphroditica,"Water Starwort, Northern water-starwort",Perennial,0.3,5-9,,LMH,N,Wa,0,0,
Callitriche palustris,"Common Waterwort, Vernal water-starwort",Perennial,0.3,0-0,,LMH,N,Wa,1,0,
Callitris columellaris,White Cypress-Pine,Tree,20.0,9-11,,LM,N,DM,0,0,
Calochortus aureus,"Mariposa Lily, Golden mariposa lily",Bulb,0.3,3-7,,LM,N,DM,2,0,
Calochortus barbatus,,Bulb,0.6,3-7,,LM,N,DM,1,0,
Calochortus clavatus,"Clubhair mariposa lily, Arroyo de la Cruz mariposa lily",Bulb,1.0,8-10,M,LM,N,DM,1,0,
Calochortus nuttallii,Sego Lily,Bulb,0.2,3-7,,LM,N,DM,2,0,
Calochortus tolmiei,Tolmie Startulip,Bulb,0.3,3-7,,LM,SN,DM,2,0,
Calochortus uniflorus,"Large-Flowered Star Tulip, Monterey mariposa lily",Bulb,0.3,3-7,,LM,N,DM,1,0,
Calopogonium mucunoides,"Calopo, Wild ground nut",Climber,5.0,10-12,F,LMH,N,M,0,0,3
Caltha leptosepala,"Western Marsh Marigold, Howell's marsh marigold,  Sulphur marsh marigold",Perennial,0.3,3-7,,LMH,SN,WeWa,2,1,
Caltha leptosepala howellii,,Perennial,0.3,3-7,,LMH,SN,WeWa,2,0,
Calycanthus floridus,"Carolina Allspice,  Eastern sweetshrub, Strawberry Bush, Sweetshrub, Carolina Allspice",Shrub,2.7,5-10,M,LM,SN,M,3,2,2
Calycanthus floridus glaucus,Eastern Sweetshrub,Shrub,3.0,5-9,,LMH,SN,M,2,1,
Calycanthus occidentalis,"Californian Allspice, Western sweetshrub",Shrub,3.0,6-9,,LM,SN,M,3,1,2
Calypso bulbosa,Fairyslipper,Perennial,0.1,4-8,,LMH,FS,MWe,2,1,
Calystegia pubescens,Japanese Bindweed,Perennial Climber,3.0,4-8,,LMH,N,M,1,1,
Calystegia sepium,"Hedge Bindweed, Hedge false bindweed, Appalachia false bindweed, Bingham's false bindweed",Perennial Climber,3.0,4-8,F,LMH,SN,M,2,1,1
Calystegia soldanella,"Sea Bindweed, Seashore false bindweed",Perennial Climber,0.6,5-9,,LMH,N,M,1,1,
Camassia cusickii,Cussick's camas,Bulb,0.9,3-11,M,LM,SN,M,2,0,3
Camassia leichtlinii,"Wild Hyacinth,  Large camas, Suksdorf's large camas",Bulb,1.0,3-7,,LMH,SN,M,4,0,
Camassia quamash,"Quamash, Small camas, Utah small camas, Walpole's small camas",Bulb,0.3,3-7,,LMH,SN,M,5,1,3
Camellia chekiangoleosa,Camellia,Shrub,6.0,7-10,,LM,SN,M,2,0,
Camellia gracilis,Camellia,Shrub,4.0,-,,LM,SN,M,2,0,
Camellia japonica,"Camellia, Common Camellia, Japanese Camellia",Shrub,10.0,7-9,S,LM,FSN,M,3,2,2
Camellia kissi,,Shrub,12.0,7-10,,LM,SN,M,2,2,
Camellia sasanqua,"Camellia, Sasanqua camellia",Shrub,3.0,7-9,S,LM,SN,M,3,1,4
Camellia sinensis,"Tea Plant, Assam tea, Tea Tree Camellia",Shrub,4.0,7-9,S,LM,S,M,4,4,3
Camellia sinensis assamica,"Tea Plant, Assam Tea",Shrub,10.0,8-10,S,LMH,SN,M,4,4,3
Campanula alliariifolia,Cornish Bellflower,Perennial,0.7,3-7,M,LM,SN,M,3,0,
Campanula cochleariifolia,Fairies Thimbles,Perennial,0.2,5-9,,LM,N,M,4,0,
Campanula glomerata,"Clustered Bellflower, Dane's blood, Clustered Bellflower",Perennial,1.0,4-9,M,LM,SN,M,4,0,
Campanula latiloba,,Perennial,0.9,3-7,M,LM,SN,M,3,0,
Campanula medium,"Canterbury Bells, Cup and Saucer, Canterbury Bells",Biennial,1.2,6-8,M,LM,SN,M,2,0,
Campanula persicifolia,"Harebell, Peachleaf bellflower",Perennial,1.0,3-7,,LM,SN,M,4,0,
Campanula punctata,"Chinese Rampion, Spotted bellflower",Perennial,0.4,5-9,F,LM,SN,M,4,0,
Campanula pyramidalis,Chimney Bellflower,Perennial,1.5,7-10,,LMH,SN,M,3,0,
Campanula rapunculoides,"Creeping Bellflower, Rampion bellflower",Perennial,1.2,3-7,F,LM,SN,M,3,1,0
Campsis grandiflora,Trumpet Creeper,Climber,9.0,6-9,F,LMH,N,M,0,2,
Camptotheca acuminata,"Happy Tree, Cancer Tree",Tree,20.0,10-12,F,LMH,SN,M,0,5,5
Cananga odorata,"Ylang Ylang, Perfume Tree",Tree,20.0,10-12,F,LMH,SN,M,2,3,4
Canarium album,Chinese White Olive,Tree,0.0,-,,LMH,SN,M,1,1,
Canarium indicum,"Canarium Nut, Ngali, Galip nut, kenari nut",Tree,35.0,10-12,F,MH,SN,M,4,2,3
Canarium luzonicum,Manila Elemi,Tree,30.0,10-12,,LMH,N,M,4,3,4
Canarium ovatum,Pili Nut,Tree,20.0,10-12,M,LMH,N,M,4,3,3
Canarium vulgare,"Java Almond, Kenari Nut",Tree,45.0,10-12,F,LMH,N,M,4,1,3
Canavalia gladiata,Sword Bean,Annual/Perennial,10.0,10-12,F,LMH,SN,M,3,2,3
Cannabis sativa,"Hemp, Marijuana",Annual,2.5,8-11,,LMH,N,M,4,4,4
Cantleya corniculata,Daru,Tree,30.0,10-12,F,LMH,N,MWe,1,0,4
Capparis spinosa,"Caper,Common Caper, Caper Bush",Shrub,1.0,8-10,F,LMH,N,DM,2,3,
Capsicum annuum,"Sweet Pepper,  Cayenne Pepper, Chili Pepper, Christmas Pepper,  Red Pepper, Ornamental Chili  Pepper",Perennial,1.0,10-11,M,LMH,N,M,4,3,2
Capsicum baccatum,"Locoto,  Aji",Perennial,2.0,8-11,,LMH,N,M,3,3,
Capsicum frutescens,"Tabasco Pepper,  Cayenne pepper",Perennial,1.0,8-11,,LMH,N,M,3,4,
Caragana boisii,Siberian peatree,Shrub,2.0,2-9,F,LM,N,DM,4,0,4
Caragana frutex,Russian pea shrub,Shrub,1.2,2-7,S,LM,N,DM,0,0,2
Caragana fruticosa,"Siberian Peashrub,",Shrub,2.0,0-0,F,LM,N,DM,3,0,5
Caragana sinica,Chinese Pea Shrub,Shrub,1.5,5-9,,LM,N,DM,1,2,
Carapichea ipecacuanha,Ipecac,Shrub,0.5,10-12,M,LMH,FS,M,0,4,0
Cardamine bulbifera,"Coral Root, Coralroot bittercress",Perennial,0.5,4-8,,LMH,SN,M,2,0,
Cardamine fauriei,,Perennial,0.3,4-8,,LMH,SN,MWe,2,0,
Cardamine flexuosa,"Wavy Bittercress,Woodland bittercress",Annual/Perennial,0.5,4-8,,LMH,SN,MWe,2,0,
Cardamine impatiens,Narrowleaf bittercress,Annual/Biennial,0.6,4-8,,LMH,SN,MWe,2,1,0
Cardamine loxostemonoides,Cuckoo Flower,Annual,0.3,-,,LMH,SN,M,1,0,
Cardamine oligosperma,"Spring Cress,  Little western bittercress, Umbel bittercress",Annual/Biennial,0.3,0-0,,LMH,SN,MWe,2,1,
Cardamine pratensis,Cuckoo Flower,Perennial,0.5,4-8,,LMH,SN,MWe,3,2,2
Cardamine raphanifolia,,Perennial,0.5,4-8,,LMH,FS,MWe,1,0,
Cardamine schinziana,,Perennial,0.3,4-8,,LMH,SN,MWe,2,0,
Cardiospermum halicacabum,"Heart Seed, Balloon vine",Climber,3.0,8-11,,LMH,N,M,1,2,1
Carex arenaria,Sand Sedge,Perennial,0.5,6-9,F,LM,SN,DM,2,2,
Carex elata,"Tufted Sedge, Golden Variegated Sedge, Tufted Sedge",Perennial,1.2,5-9,M,LMH,SN,MWe,2,0,
Carex kobomugi,Japanese sedge,Perennial,0.2,6-8,,LMH,SN,MWe,1,0,2
Carex macrocephala,Largehead sedge,Perennial,0.2,0-0,,LMH,SN,MWe,1,0,
Carex meyeriana,"Sedge, Wu la cao ",Perennial,0.5,9-12,F,LMH,FSN,MWe,0,0,4
Carex morrowii,"Iwashiba, Japanese Sedge ",Perennial,0.6,5-9,F,LMH,FSN,M,0,0,4
Carex pensylvanica,Pennsylvania sedge,Perennial,0.3,4-8,M,LMH,FSN,DM,0,0,3
Carex sylvatica,Wood sedge,Perennial,0.6,3-8,F,MH,SN,MWe,0,0,3
Carex utriculata,"Sedge, Northwest territory sedge",Perennial,1.2,0-0,,LMH,SN,WeWa,2,0,
Carica papaya,"Papaya, Mamo, Melon Tree",Tree,8.0,9-12,F,LMH,N,M,5,3,3
Carlina vulgaris,Carline Thistle,Biennial,0.5,5-9,,LMH,N,DM,1,1,
Carmona retusa,"Fukien Tea, Philippine tea tree",Shrub,3.0,10-12,F,LMH,N,M,2,4,2
Carpesium abrotanoides,,Perennial,1.0,-,,LMH,SN,M,2,2,
Carpesium glossophyllum,,Perennial,0.5,-,,LMH,SN,M,1,0,
Carpinus laxiflora,,Tree,15.0,4-8,,LMH,SN,M,0,0,
Carpobrotus virescens,Coastal Pigface,Perennial,0.5,8-11,,LMH,SN,DM,0,0,
Carthamus tinctorius,Safflower | Koosumbha | Hoang-tchi,Annual,1.0,-,,LM,N,DM,4,3,
Carya cathayensis,Chinese Hickory,Tree,18.0,5-9,S,LMH,N,M,3,0,3
Carya glabra,"Sweet Pignut, Pignut hickory, Broom Hickory, Pignut Hickory",Tree,30.0,4-9,S,LMH,N,DM,3,0,
Carya glabra megacarpa,Coastal Pignut Hickory,Tree,30.0,4-8,S,LMH,N,M,3,0,
Carya illinoinensis,Pecan,Tree,50.0,5-9,M,LMH,N,M,4,1,2
Carya laciniosa,Shellbark Hickory,Tree,30.0,5-9,S,LMH,N,M,3,1,3
Carya ovalis,Sweet Pignut,Tree,30.0,5-9,S,LMH,N,M,3,0,
Carya ovata,Shagbark Hickory,Tree,30.0,4-8,S,LMH,N,DM,3,1,4
Carya tomentosa,"Mockernut,White Heart Hickory, Mockernut  Hickory",Tree,30.0,4-9,M,LMH,N,DM,3,1,
Caryocar nuciferum,Souari Nut. Butter Nut,Tree,45.0,10-12,M,LMH,N,M,4,2,2
Caryocar villosum,Piquia,Tree,30.0,10-12,S,LMH,N,M,3,0,2
Cassia leiandra,Marimari,Tree,10.0,9-11,F,MH,N,MWe,4,0,2
Cassia sieberiana,West African Laburnum,Tree,15.0,10-12,M,LMH,N,DM,1,4,2
Castanea crenata,Japanese Chestnut,Tree,9.0,4-8,,LMH,SN,DM,3,0,
Castanea henryi,,Tree,25.0,5-9,,LMH,SN,DM,3,0,
Castanea mollissima,Chinese Chestnut,Tree,25.0,4-8,M,LMH,SN,DM,3,2,3
Castanea pumila,"Chinquapin, Ozark chinkapin",Shrub,4.0,4-8,S,LMH,N,DM,4,1,2
Castanea pumila ashei,Chinquapin,Shrub,5.0,6-9,,LMH,N,DM,4,1,2
Castanea sativa,"Sweet Chestnut, European chestnut",Tree,30.0,5-7,M,LMH,N,DM,5,2,5
Castanea seguinii,Chinese Chinquapin,Tree,10.0,5-9,M,LMH,N,DM,3,0,
Castanea species,Chestnut Hybrids,Tree,30.0,4-9,F,LMH,SN,DM,4,2,4
Castanea x neglecta,Chinknut,Shrub,4.0,4-8,S,LMH,N,DM,3,0,3
Castanopsis acuminatissima,"Castanopsis chestnut, White oak",Tree,25.0,10-12,F,LMH,N,M,3,0,3
Castanopsis hystrix,,Tree,30.0,-,,MH,S,M,2,0,
Castanopsis javanica,"Spiny oak, Java chinkapin tree",Tree,25.0,10-12,M,LMH,SN,M,2,0,2
Castilla elastica,Panama Rubber Tree. Mastate blanco,Tree,40.0,10-12,F,LMH,N,M,2,0,3
Castilla ulei,Caucho Negro,Tree,30.0,10-12,M,LMH,N,M,2,0,3
Casuarina equisetifolia,"She Oak, Common Ru, Australian Pine, Horsetail Casuarina",Tree,30.0,9-12,F,LMH,SN,DM,1,2,5
Casuarina littoralis,"She Oak, Black she-oak",Tree,8.0,8-11,,LMH,N,DM,0,0,3
Casuarina verticillata,Drooping she-oak,Tree,10.0,8-11,,LMH,N,DM,0,0,3
Catalpa bignonioides,"Indian Bean Tree, Southern catalpa",Tree,15.0,5-9,M,LMH,N,M,0,2,
Catalpa ovata,Chinese Catalpa,Tree,10.0,5-9,F,LMH,N,M,1,1,
Caucalis platycarpos,"Small Bur-Parsley, Carrot bur parsley",Annual,0.3,0-0,,LMH,N,M,2,0,
Ceanothus arboreus,"Catalina Mountain Lilac, Feltleaf ceanothus",Shrub,7.0,8-10,M,LM,SN,DM,0,0,
Ceanothus divergens,"Cropleaf Ceanothus, Calistoga ceanothus",Shrub,1.5,7-10,,LM,SN,DM,0,0,
Ceanothus impressus,Santa Barbara Ceanothus,Shrub,1.5,7-9,M,LM,SN,DM,0,0,
Ceanothus ovatus,Smaller Red-Root,Shrub,1.0,4-8,,LM,SN,DM,2,1,
Ceanothus sanguineus,"Oregon Tea Tree, Redstem ceanothus",Shrub,2.0,4-8,,LM,SN,DM,2,1,
Cedrela fissilis,"Cedro, Cigar Box Tree",Tree,25.0,10-12,F,LMH,SN,M,0,2,4
Cedrela odorata,"Cedar Wood, West Indian Cedar, SpanishCedar, Cigar-box Cedar, Cedro Hembra",Tree,30.0,9-12,F,LMH,SN,M,1,2,4
Cedrus libani,Cedar Of Lebanon,Tree,30.0,5-8,S,LMH,N,DM,1,1,
Celastrus angulatus,,Climber,7.3,4-8,F,LMH,FSN,M,0,1,
Celastrus dependens,,Climber,0.0,7-10,,LMH,SN,M,1,2,
Celastrus orbiculatus,Oriental Bittersweet,Climber,12.0,4-8,F,LM,FSN,M,1,2,1
Celastrus scandens,"Climbing Bittersweet, American bittersweet",Climber,8.0,3-8,F,LMH,FSN,M,2,2,
Celtis australis,"Nettle Tree, European hackberry",Tree,20.0,5-9,M,LM,N,DM,3,2,0
Celtis caucasica,Caucasian hackberry,Tree,20.0,5-9,,LM,N,DM,2,0,
Celtis laevigata,"Sugarberry, Netleaf hackberry, Texan sugarberry, Sugar  Hackberry",Tree,18.0,5-10,M,LMH,N,DM,2,1,3
Celtis lindheimeri,"Palo Blanco, Lindheimer's hackberry",Tree,10.0,0-0,,LM,N,DM,2,0,
Celtis reticulata,"Paloblanco, Netleaf hackberry",Tree,12.0,5-9,S,LM,N,DM,2,1,
Celtis sinensis,Chinese hackberry,Tree,10.0,8-11,M,LM,N,DM,2,1,
Celtis tenuifolia,"Small Hackberry, Dwarf hackberry",Tree,4.5,5-9,,LM,N,DM,2,0,
Centaurea calcitrapa,"Common Star Thistle, Red star-thistle",Biennial,0.6,0-0,,LMH,N,DM,1,1,
Centaurea cyanus,"Cornflower, Garden cornflower, Blue Bottle, Cornflower",Annual,1.0,0-0,F,LMH,N,DM,2,2,2
Centaurea depressa,Iranian knapweed,Annual/Perennial,0.3,6-9,,LMH,N,DM,2,0,
Centaurea raphanina,,Perennial,0.0,-,,LMH,N,DM,1,0,
Centaurium erythraea,"Centaury - Feverwort, European centaury",Annual/Biennial,0.3,0-0,,LM,SN,DM,1,3,
Centaurium spicatum,Spiked centaury,Annual/Biennial,0.6,0-0,,LM,SN,DM,0,1,
Centipeda minima,Spreading Sneeze Weed,Annual,0.1,-,,LMH,SN,M,0,2,
Centrolobium microchaete,Yellow tarara,Tree,20.0,10-12,F,LMH,SN,DM,0,0,4
Centrosema pubescens,"Centro, Butterfly pea",Perennial Climber,0.5,10-12,F,LMH,FSN,MWe,0,0,3
Cephalotaxus fortunei,Chinese Plum Yew,Shrub,6.0,6-9,S,LMH,FSN,M,5,1,3
Cephalotaxus harringtonia drupacea,Japanese Plum Yew,Shrub,5.0,6-9,S,LMH,FS,M,5,0,3
Cephalotaxus harringtonia koreana,Korean Plum Yew,Shrub,1.5,6-9,S,LMH,FS,M,5,0,3
Cephalotaxus harringtonia nana,Japanese Plum Yew,Shrub,2.0,6-9,S,LMH,FS,M,5,0,3
Cephalotaxus sinensis,Chinese Plum Yew,Shrub,5.0,6-9,S,LMH,FS,M,4,1,3
Cerastium fontanum,"Chickweed, Common mouse-ear chickweed, Big chickweed",Annual/Perennial,0.3,5-10,,LMH,S,M,2,0,0
Cerastium holosteoides,Common Mouse-Ear Chickweed,Annual/Perennial,0.3,-,,LMH,N,M,2,0,
Cerastium viscosum,sticky chickweed,Annual,0.3,-,,LMH,N,M,2,1,
Ceratonia siliqua,"Carob, St. john's bread",Tree,15.0,9-11,M,LM,N,DM,3,2,
Ceratostigma willmottianum,"Chinese Plumbago, Chinese Leadwort",Shrub,1.0,6-9,M,LM,N,DM,0,1,
Cercidium microphyllum,Paloverde. Foothill palo verde. Small-leaved palo verde,Tree,4.0,9-10,S,LMH,N,DM,3,0,2
Cercis chinensis,Chinese Redbud,Tree,15.0,6-8,S,LM,N,M,1,2,
Cereus hildmannianus,"Hildmania cactus, Hedge cactus",Tree,9.0,9-12,S,LM,N,DM,3,0,2
Cereus repandus,Peruvian apple cactus,Tree,10.0,9-12,S,LM,N,DM,3,0,1
Chaenomeles cathayensis,Chinese Quince,Shrub,3.0,4-8,,LMH,SN,M,4,2,0
Chaenomeles japonica,"Dwarf Quince, Maule's quince, Japanese Flowering Quince",Shrub,1.0,5-8,M,LMH,FSN,M,3,0,3
Chaenomeles speciosa,"Japanese Quince, Flowering quince",Shrub,3.0,4-8,M,LMH,FSN,M,3,2,3
Chaenomeles x californica,California Quince,Shrub,1.8,4-8,M,LMH,SN,M,3,1,2
Chamaecrista nigricans,"Diola, Diala",Perennial,1.5,10-12,F,LMH,N,M,1,2,4
Chamaecrista rotundifolia,Round-leaf cassia,Shrub,1.0,9-11,F,LM,SN,DM,0,0,4
Chamaecyparis lawsoniana,"Lawson Cypress, Port orford cedar, Oregon Cedar, Port Orford Cedar, Lawson's Cypress",Tree,25.0,5-7,M,LMH,SN,DM,0,1,
Chamaecyparis nootkatensis,"Nootka Cypress, Nootka Cypress, Yellow Cypress, Alaska  Cedar",Tree,15.0,4-8,M,LMH,SN,DM,0,1,
Chamaecyparis obtusa,Japanese cypress,Tree,40.0,4-8,M,LMH,N,M,0,0,3
Chamaecyparis pisifera,Sawara cypress,Tree,40.0,4-8,M,LMH,SN,M,0,0,3
Chamaecyparis thyoides,"White Cypress, Atlantic white cedar, Coast White Cedar, Southern White Cedar, White Cypress",Tree,10.0,4-9,S,LMH,SN,DMWe,0,1,
Chamaedorea tepejilote,"Pacaya Palm, Palmito dulce",Tree,7.0,10-12,F,LMH,FS,M,4,0,0
Cheilanthes pteridioides,Ressurection Fern,Fern,0.2,7-10,,LMH,SN,M,1,0,
Chelidonium majus,"Greater Celandine, Swallow Wort, Greater Celandine",Perennial,0.5,5-8,F,LMH,FSN,M,1,3,
Chenopodium album,"Fat Hen, Lambsquarters",Annual,0.9,0-0,,LMH,N,M,3,2,1
Chenopodium ambrosioides anthelminticum,Wormseed,Annual/Perennial,1.0,7-10,,LMH,N,M,2,3,
Chenopodium bonus-henricus,Good King Henry,Perennial,0.3,4-8,,LMH,N,M,4,2,1
Chenopodium californicum,California Goosefoot,Annual,0.6,-,,LMH,N,DM,2,1,
Chenopodium cristatum,Crested Goosefoot,Annual,0.6,-,,LMH,N,M,2,1,
Chenopodium ficifolium,Fig-Leaved Goosefoot,Annual,0.9,4-8,,LMH,N,M,2,0,
Chenopodium foliosum,Leafy goosefoot,Annual,0.6,4-8,,LMH,N,M,3,0,
Chenopodium giganteum,Tree Spinach,Annual,2.4,4-8,,LMH,N,M,3,0,
Chenopodium graveolens,Foetid Goosefoot,Annual,0.9,-,,LMH,N,M,2,1,
Chenopodium pallidicaule,Cañihua,Annual,0.6,-,,LMH,N,DM,3,0,
Chenopodium pratericola,Desert Goosefoot,Annual,1.0,-,,LMH,N,M,2,0,
Chenopodium quinoa,"Quinoa, Goosefoot, Pigweed, Inca Wheat",Annual,1.5,10-12,F,LMH,N,M,5,0,2
Chenopodium schraderianum,,Annual,1.2,-,,LMH,N,M,2,1,
Chenopodium simplex,Mapleleaf goosefoot,Annual,1.2,0-0,,LMH,N,M,2,0,1
Chenopodium suecicum,,Annual,0.0,-,,LMH,N,M,2,0,
Chenopodium urbicum,City goosefoot,Annual,0.6,0-0,,LMH,N,M,2,0,
Chenopodium vulvaria,Stinking Goosefoot. Arrach - Wormseed,Annual,0.3,4-8,,LMH,N,M,2,1,
Chiliotrichum diffusum,,Shrub,1.0,7-10,S,LMH,N,DM,0,1,
Chimonanthus praecox,Winter Sweet,Shrub,3.0,7-9,M,LMH,N,M,2,1,
Chiococca alba,"West Indian Snow Berry, David's rot, Skunk-root, Snowberry.",Shrub,6.0,10-12,M,LMH,N,M,0,2,1
Chionanthus virginicus,"Fringe Tree, White fringetree, Old Man's Beard, Fringe Tree",Shrub,5.0,4-9,F,LMH,SN,M,1,3,
Chionographis japonica,,Perennial,0.3,6-9,,LMH,S,M,1,0,
Chlorogalum parviflorum,Smallflower Soapplant,Bulb,0.6,7-10,,LMH,SN,DM,2,0,
Chloroxylon swietenia,East Indian Satinwood,Tree,18.0,10-12,F,LMH,N,M,0,3,4
Chondrilla ambigua,"Chondrilla, Sha di fen bao ju",Perennial,0.5,4-9,F,LMH,N,DM,0,0,3
Chondrilla chondrilloides,,Perennial,0.3,-,,LM,N,DM,1,0,
Chorispora sabulosa,,Perennial,0.1,-,,LMH,SN,DM,1,0,
Chrozophora obliqua,,Perennial,0.0,-,,LMH,SN,M,1,1,
Chrysanthemum carinatum,"Tricolor Chrysanthemum, Painted Daisy, Summer Chrysanthemum",Annual,0.6,0-0,F,LMH,SN,M,2,0,
Chrysanthemum coronarium,Chop-Suey Greens,Annual,1.2,0-0,,LMH,SN,M,3,2,0
Chrysanthemum coronarium spatiosum,Chop-Suey Greens,Annual,1.2,0-0,,LMH,SN,M,3,2,0
Chrysanthemum segetum,Corn Marigold,Annual,0.5,-,,LMH,SN,M,1,0,
Chrysobalanus icaco,"Coco Plum, Paradise Plum",Tree,6.0,10-12,S,LMH,SN,M,4,2,3
Chrysogonum virginianum,"Golden-knee, Green and Gold, or Goldenstar",Perennial,0.2,5-9,F,LMH,FSN,DM,0,0,3
Chrysolepis chrysophylla,"Golden Chinquapin, Giant chinquapin",Tree,20.0,6-9,M,LM,S,M,2,0,
Chrysophyllum cainito,"Star Apple, Caimito",Tree,25.0,10-12,M,LMH,N,M,4,2,2
Chrysothamnus graveolens,Rubber Rabbitbrush,Shrub,2.5,7-10,,LM,N,DM,0,0,
Chukrasia tabularis,"Chickrassy, Chittagong Wood, Indian Redwood.",Tree,30.0,9-12,M,LM,N,M,1,2,4
Chusquea culeou,Culeu,Bamboo,5.0,6-9,F,LMH,S,M,2,0,
Cibotium barometz,Scythian Lamb,Fern,0.0,8-11,,LMH,SN,M,1,1,
Cicer arietinum,Chick Pea,Annual,0.6,-,,LM,N,DM,4,1,
Cicer microphyllum,,Perennial,0.2,-,,LM,N,DM,2,0,
Cichorium intybus,"Chicory, Radicchio, Succory, Witloof",Perennial,1.5,3-7,F,LMH,N,M,4,3,3
