ID,Plant Name,Latin Name,Water Level,Sunlight Level
1693,"Black Huckleberry, Oval-leaf blueberry",Vaccinium ovalifolium,M,SN
1694,Bog Bilberry,Vaccinium uliginosum,MWe,SN
1695,Beaked Cornsalad,Valerianella radiata,DM,N
1696,Babaco,Vasconcellea x heilbornii,M,N
1697,Black Hellebore,Veratrum nigrum,M,SN
1698,"Brooklime, European speedwell",Veronica beccabunga,WeWa,SN
1699,bastard speedwell,Veronica spuria,M,N
1700,Blackroot,Veronicastrum sibiricum,M,SN
1701,"Beaumont's Root, Culver's root, Bowman's Root, Culver's Root, Black Root",Veronicastrum virginicum,M,N
1702,Bitter Vetch,Vicia ervilia,M,SN
1703,"Broad Bean, Fava Bean",Vicia faba major,M,SN
1704,Bush Vetch,Vicia sepium,M,SN
1705,Black-Eyed Pea,Vigna unguiculata unguiculata,DM,SN
1706,"Bird's Foot Violet, Crowfoot Violet, Pansy Violet,  Bird's Foot  Violet",Viola pedata,M,SN
1707,Shea Butter Tree,Vitellaria paradoxa,DM,SN
1708,Black Plum,Vitex doniana,M,SN
1709,"Bush Grape, Mapleleaf grape",Vitis acerifolia,DM,SN
1710,"Bird Grape, Munson's grape",Vitis munsoniana,DM,SN
1711,Bush Grape,Vitis x doaniana,DM,SN
1712,Barren Strawberry,Waldsteinia ternata,M,SN
1713,"Desert Fan Palm, California fan palm,  California Washingtonia Palm, Petticoat Palm,  Desert Fan Pal",Washingtonia filifera,DM,N
1714,Baw-Baw Berry,Wittsteinia vacciniacea,M,SN
1715,"Chain Fern, Rooting chainfern",Woodwardia radicans,MWe,S
1716,Buckley's Yucca,Yucca constricta,DM,SN
1717,"Colorado Fir, White fir",Abies concolor,DM,FSN
1718,"Californian Red Fir, Shasta red fir",Abies magnifica,M,FSN
1719,"Caucasian Fir, Christmas Tree Fir, Nordmann",Abies nordmanniana,M,FSN
1720,Cranberry Gourd,Abobra tenuifolia,DM,N
1721,,Abutilon ochsenii,M,SN
1722,"Chinese Lantern, Flowering Maple",Abutilon x hybridum,M,SN
1723,"Cutch tree, Catechu acacia",Acacia catechu,DM,N
1724,"Coastal Wattle, Acacia",Acacia sophorae,DM,N
1725,Columbian monkshood,Aconitum columbianum,M,SN
1726,Sweet Flag - Calamus,Acorus calamus,WeWa,N
1727,"Californian Buckeye, California Horsechestnut",Aesculus californica,DM,N
1728,Chinese Horse Chestnut,Aesculus chinensis,M,SN
1729,"Hoary Balm Of Gilead, Mosquito plant",Agastache cana,DM,N
1730,"Century Plant, Parry's agave, Mescal",Agave parryi,DM,N
1731,Century Plant,Agave utahensis discreta,DM,N
1732,Century Plant,Agave utahensis eborispina,DM,N
1733,"Corncockle, Common corncockle",Agrostemma githago,DM,SN
1734,"Canadian Garlic, Meadow garlic, Fraser meadow garlic,  Hyacinth meadow garlic",Allium canadense,MWe,SN
1735,Canadian Garlic,Allium canadense mobilense,MWe,SN
1736,"Chives, Wild chives, Flowering Onion",Allium schoenoprasum,M,SN
1737,"Crow Garlic, Wild garlic, Compact onion, False Garlic, Wild, Onion",Allium vineale,DM,N
1738,,Alnus nitida,DMWe,SN
1739,Careless Weed,Amaranthus palmeri,M,N
1740,"Devil's Tongue, Umbrella Arum, Leopard Palm, Snake Palm",Amorphophallus rivieri,M,SN
1741,,Ampelopsis humulifolia,M,SN
1742,Canadian Anemone,Anemone canadensis,M,S
1743,Candle Anemone,Anemone cylindrica,M,S
1744,Cao Yu Mei,Anemone rivularis,M,FSN
1745,"Cherimoya, Custard Apple",Annona cherimola,DM,N
1746,"Catsfoot, Stoloniferous pussytoes",Antennaria dioica,DM,N
1747,Corn Chamomile,Anthemis arvensis,DM,N
1748,"Chervil, Garden chervil",Anthriscus cerefolium,M,FSN
1749,"Cow Parsley, Wild chervil",Anthriscus sylvestris,DM,FSN
1750,,Aphananthe aspera,DM,SN
1751,Celery,Apium graveolens dulce,M,SN
1752,Celeriac,Apium graveolens rapaceum,M,S
1753,"Columbine, Jones' columbine, Blue limestone columbine",Aquilegia jonesii,M,SN
1754,"Columbine, Sierra columbine",Aquilegia pubescens,M,SN
1755,"Columbine, European columbine, Granny's Bonnet, European Crowfoot",Aquilegia vulgaris,M,SN
1756,"Cruel Plant, White bladderflower",Araujia sericifera,M,SN
1757,Canary Madrona,Arbutus canariensis,M,SN
1758,"Coralberry,  Hen's eyes,  Spiceberry",Ardisia crenata,M,S
1759,,Argyranthemum foeniculaceum,DM,N
1760,"Cina, Santonica",Artemisia cina,DM,S
1761,Cuckoo Pint,Arum maculatum,M,FSN
1762,"California Milkweed, Greene's milkweed",Asclepias californica,DM,SN
1763,Scale Fern,Asplenium ceterach,M,FSN
1764,Common Blue Wood Aster,Aster cordifolius,M,N
1765,Chinese Milk Vetch,Astragalus sinicus,M,N
1766,Cranberry Heath,Astroloma humifusum,DM,N
1767,Candy Carrot,Athamantha cretensis,M,N
1768,Cang Zhu,Atractylodes lancea,M,SN
1769,"California Orach, California saltbush",Atriplex californica,DM,N
1770,Crownscale,Atriplex coronata,DM,N
1771,"Yellow Rocket, Garden yellowrocket",Barbarea vulgaris,M,SN
1772,"Summer Cypress, Burningbush",Bassia scoparia,M,N
1773,"Camel's foot tree, monkey bread",Bauhinia thonningii,DM,N
1774,Coral Plant,Berberidopsis corallina,M,FS
1775,"Chutro, Rasanjan (Nep); marpyashi (Newa); Daruharidra, Darbi (Sans)",Berberis asiatica,DM,FSN
1776,Colorado Barberry,Berberis fendleri,DM,SN
1777,Cutleaf Waterparsnip,Berula erecta,MWe,SN
1778,Common Appleberry,Billardiera scandens,M,SN
1779,1,12345678910...,8,7
1780,Yellow Wort,Blackstonia perfoliata,DM,N
1781,Common Moonwort,Botrychium lunaria,DM,SN
1782,Curled Mustard,Brassica juncea crispifolia,M,SN
1783,Curled Mustard,Brassica juncea integrifolia crispifolia,M,SN
1784,"Colza,  Rape",Brassica napus,M,SN
1785,Coleseed,Brassica napus arvensis,M,SN
1786,Chinese Kale,Brassica oleracea alboglabra,M,SN
1787,Cauliflower,Brassica oleracea botrytis,M,SN
1788,"Cabbage,Ornamental Cabbage, Red Cabbage, Savoy  Cabbage",Brassica oleracea capitata,M,SN
1789,Couve Tronchuda,Brassica oleracea costata,M,SN
1790,Curly Kale,Brassica oleracea sabellica,M,SN
1791,Chinese Savoy,Brassica rapa narinosa,M,SN
1792,Californian Brome,Bromus carinatus,DM,SN
1793,"Cheat Grass, Downy Brome",Bromus tectorum,DM,N
1794,Chittamwood,Bumelia lanuginosa,M,N
1795,"Corn Rocket, Crested wartycabbage",Bunias erucago,M,N
1796,,Bunium ferulaceum,M,N
1797,"Christmas Bush, Sweet Bursaria",Bursaria spinosa,M,N
1798,"Jelly Palm, South american jelly palm",Butia capitata,M,SN
1799,,Cacalia farfarifolia,M,FS
1800,"Mysore Thorn, Shoofly",Caesalpinia decapetala,M,N
1801,"Teri pods, Udakiryaka",Caesalpinia digyna,M,N
1802,"Spiny Holdback, Tara",Caesalpinia spinosa,M,SN
1803,"Pigeon Pea, Puerto Rico Bean, Gandul, Dhal, Congo Pea",Cajanus cajan,M,N
1804,"Sea Rocket, European searocket",Cakile maritima,M,N
1805,"Calamint,  Woodland calamint",Calamintha sylvatica,DM,SN
1806,Rotan Manau,Calamus manan,M,SN
1807,"Rattan, Rotang, Rattan Cane",Calamus rotang,M,SN
1808,"Redmaids, Fringed redmaids",Calandrinia ciliata,DM,N
1809,Redmaids,Calandrinia ciliata menziesii,DM,N
1810,"calendula, Pot Marigold",Calendula officinalis,M,SN
1811,,Calicotome villosa,DM,N
1812,,Calligonum aphyllum,DM,N
1813,"Poppy Mallow,  Purple poppymallow, Winecup, Finger Poppy Mallow",Callirhoe involucrata,DM,N
1814,Tall Poppy-Mallow,Callirhoe leiocarpa,DM,N
1815,"Crimson Bottlebrush, Red Bottlebrush, Lemon Bottlebrush",Callistemon citrinus,DMWe,N
1816,"Water Starwort, Northern water-starwort",Callitriche hermaphroditica,Wa,N
1817,"Common Waterwort, Vernal water-starwort",Callitriche palustris,Wa,N
1818,White Cypress-Pine,Callitris columellaris,DM,N
1819,"Mariposa Lily, Golden mariposa lily",Calochortus aureus,DM,N
1820,,Calochortus barbatus,DM,N
1821,"Clubhair mariposa lily, Arroyo de la Cruz mariposa lily",Calochortus clavatus,DM,N
1822,Sego Lily,Calochortus nuttallii,DM,N
1823,Tolmie Startulip,Calochortus tolmiei,DM,SN
1824,"Large-Flowered Star Tulip, Monterey mariposa lily",Calochortus uniflorus,DM,N
1825,"Calopo, Wild ground nut",Calopogonium mucunoides,M,N
1826,"Western Marsh Marigold, Howell's marsh marigold,  Sulphur marsh marigold",Caltha leptosepala,WeWa,SN
1827,,Caltha leptosepala howellii,WeWa,SN
1828,"Carolina Allspice,  Eastern sweetshrub, Strawberry Bush, Sweetshrub, Carolina Allspice",Calycanthus floridus,M,SN
1829,Eastern Sweetshrub,Calycanthus floridus glaucus,M,SN
1830,"Californian Allspice, Western sweetshrub",Calycanthus occidentalis,M,SN
1831,Fairyslipper,Calypso bulbosa,MWe,FS
1832,Japanese Bindweed,Calystegia pubescens,M,N
1833,"Hedge Bindweed, Hedge false bindweed, Appalachia false bindweed, Bingham's false bindweed",Calystegia sepium,M,SN
1834,"Sea Bindweed, Seashore false bindweed",Calystegia soldanella,M,N
1835,Cussick's camas,Camassia cusickii,M,SN
1836,"Wild Hyacinth,  Large camas, Suksdorf's large camas",Camassia leichtlinii,M,SN
1837,"Quamash, Small camas, Utah small camas, Walpole's small camas",Camassia quamash,M,SN
1838,Camellia,Camellia chekiangoleosa,M,SN
1839,Camellia,Camellia gracilis,M,SN
1840,"Camellia, Common Camellia, Japanese Camellia",Camellia japonica,M,FSN
1841,,Camellia kissi,M,SN
1842,"Camellia, Sasanqua camellia",Camellia sasanqua,M,SN
1843,"Tea Plant, Assam tea, Tea Tree Camellia",Camellia sinensis,M,S
1844,"Tea Plant, Assam Tea",Camellia sinensis assamica,M,SN
1845,Cornish Bellflower,Campanula alliariifolia,M,SN
1846,Fairies Thimbles,Campanula cochleariifolia,M,N
1847,"Clustered Bellflower, Dane's blood, Clustered Bellflower",Campanula glomerata,M,SN
1848,,Campanula latiloba,M,SN
1849,"Canterbury Bells, Cup and Saucer, Canterbury Bells",Campanula medium,M,SN
1850,"Harebell, Peachleaf bellflower",Campanula persicifolia,M,SN
1851,"Chinese Rampion, Spotted bellflower",Campanula punctata,M,SN
1852,Chimney Bellflower,Campanula pyramidalis,M,SN
1853,"Creeping Bellflower, Rampion bellflower",Campanula rapunculoides,M,SN
1854,Trumpet Creeper,Campsis grandiflora,M,N
1855,"Happy Tree, Cancer Tree",Camptotheca acuminata,M,SN
1856,"Ylang Ylang, Perfume Tree",Cananga odorata,M,SN
1857,Chinese White Olive,Canarium album,M,SN
1858,"Canarium Nut, Ngali, Galip nut, kenari nut",Canarium indicum,M,SN
1859,Manila Elemi,Canarium luzonicum,M,N
1860,Pili Nut,Canarium ovatum,M,N
1861,"Java Almond, Kenari Nut",Canarium vulgare,M,N
1862,Sword Bean,Canavalia gladiata,M,SN
1863,"Hemp, Marijuana",Cannabis sativa,M,N
1864,Daru,Cantleya corniculata,MWe,N
1865,"Caper,Common Caper, Caper Bush",Capparis spinosa,DM,N
1866,"Sweet Pepper,  Cayenne Pepper, Chili Pepper, Christmas Pepper,  Red Pepper, Ornamental Chili  Pepper",Capsicum annuum,M,N
1867,"Locoto,  Aji",Capsicum baccatum,M,N
1868,"Tabasco Pepper,  Cayenne pepper",Capsicum frutescens,M,N
1869,Siberian peatree,Caragana boisii,DM,N
1870,Russian pea shrub,Caragana frutex,DM,N
1871,"Siberian Peashrub,",Caragana fruticosa,DM,N
1872,Chinese Pea Shrub,Caragana sinica,DM,N
1873,Ipecac,Carapichea ipecacuanha,M,FS
1874,"Coral Root, Coralroot bittercress",Cardamine bulbifera,M,SN
1875,,Cardamine fauriei,MWe,SN
1876,"Wavy Bittercress,Woodland bittercress",Cardamine flexuosa,MWe,SN
1877,Narrowleaf bittercress,Cardamine impatiens,MWe,SN
1878,Cuckoo Flower,Cardamine loxostemonoides,M,SN
1879,"Spring Cress,  Little western bittercress, Umbel bittercress",Cardamine oligosperma,MWe,SN
1880,Cuckoo Flower,Cardamine pratensis,MWe,SN
1881,,Cardamine raphanifolia,MWe,FS
1882,,Cardamine schinziana,MWe,SN
1883,"Heart Seed, Balloon vine",Cardiospermum halicacabum,M,N
1884,Sand Sedge,Carex arenaria,DM,SN
1885,"Tufted Sedge, Golden Variegated Sedge, Tufted Sedge",Carex elata,MWe,SN
1886,Japanese sedge,Carex kobomugi,MWe,SN
1887,Largehead sedge,Carex macrocephala,MWe,SN
1888,"Sedge, Wu la cao ",Carex meyeriana,MWe,FSN
1889,"Iwashiba, Japanese Sedge ",Carex morrowii,M,FSN
1890,Pennsylvania sedge,Carex pensylvanica,DM,FSN
1891,Wood sedge,Carex sylvatica,MWe,SN
1892,"Sedge, Northwest territory sedge",Carex utriculata,WeWa,SN
1893,"Papaya, Mamo, Melon Tree",Carica papaya,M,N
1894,Carline Thistle,Carlina vulgaris,DM,N
1895,"Fukien Tea, Philippine tea tree",Carmona retusa,M,N
1896,,Carpesium abrotanoides,M,SN
1897,,Carpesium glossophyllum,M,SN
1898,,Carpinus laxiflora,M,SN
1899,Coastal Pigface,Carpobrotus virescens,DM,SN
1900,Safflower | Koosumbha | Hoang-tchi,Carthamus tinctorius,DM,N
1901,Chinese Hickory,Carya cathayensis,M,N
1902,"Sweet Pignut, Pignut hickory, Broom Hickory, Pignut Hickory",Carya glabra,DM,N
1903,Coastal Pignut Hickory,Carya glabra megacarpa,M,N
1904,Pecan,Carya illinoinensis,M,N
1905,Shellbark Hickory,Carya laciniosa,M,N
1906,Sweet Pignut,Carya ovalis,M,N
1907,Shagbark Hickory,Carya ovata,DM,N
1908,"Mockernut,White Heart Hickory, Mockernut  Hickory",Carya tomentosa,DM,N
1909,Souari Nut. Butter Nut,Caryocar nuciferum,M,N
1910,Piquia,Caryocar villosum,M,N
1911,Marimari,Cassia leiandra,MWe,N
1912,West African Laburnum,Cassia sieberiana,DM,N
1913,Japanese Chestnut,Castanea crenata,DM,SN
1914,,Castanea henryi,DM,SN
1915,Chinese Chestnut,Castanea mollissima,DM,SN
1916,"Chinquapin, Ozark chinkapin",Castanea pumila,DM,N
1917,Chinquapin,Castanea pumila ashei,DM,N
1918,"Sweet Chestnut, European chestnut",Castanea sativa,DM,N
1919,Chinese Chinquapin,Castanea seguinii,DM,N
1920,Chestnut Hybrids,Castanea species,DM,SN
1921,Chinknut,Castanea x neglecta,DM,N
1922,"Castanopsis chestnut, White oak",Castanopsis acuminatissima,M,N
1923,,Castanopsis hystrix,M,S
1924,"Spiny oak, Java chinkapin tree",Castanopsis javanica,M,SN
1925,Panama Rubber Tree. Mastate blanco,Castilla elastica,M,N
1926,Caucho Negro,Castilla ulei,M,N
1927,"She Oak, Common Ru, Australian Pine, Horsetail Casuarina",Casuarina equisetifolia,DM,SN
1928,"She Oak, Black she-oak",Casuarina littoralis,DM,N
1929,Drooping she-oak,Casuarina verticillata,DM,N
1930,"Indian Bean Tree, Southern catalpa",Catalpa bignonioides,M,N
1931,Chinese Catalpa,Catalpa ovata,M,N
1932,"Small Bur-Parsley, Carrot bur parsley",Caucalis platycarpos,M,N
1933,"Catalina Mountain Lilac, Feltleaf ceanothus",Ceanothus arboreus,DM,SN
1934,"Cropleaf Ceanothus, Calistoga ceanothus",Ceanothus divergens,DM,SN
1935,Santa Barbara Ceanothus,Ceanothus impressus,DM,SN
1936,Smaller Red-Root,Ceanothus ovatus,DM,SN
1937,"Oregon Tea Tree, Redstem ceanothus",Ceanothus sanguineus,DM,SN
1938,"Cedro, Cigar Box Tree",Cedrela fissilis,M,SN
1939,"Cedar Wood, West Indian Cedar, SpanishCedar, Cigar-box Cedar, Cedro Hembra",Cedrela odorata,M,SN
1940,Cedar Of Lebanon,Cedrus libani,DM,N
1941,,Celastrus angulatus,M,FSN
1942,,Celastrus dependens,M,SN
1943,Oriental Bittersweet,Celastrus orbiculatus,M,FSN
1944,"Climbing Bittersweet, American bittersweet",Celastrus scandens,M,FSN
1945,"Nettle Tree, European hackberry",Celtis australis,DM,N
1946,Caucasian hackberry,Celtis caucasica,DM,N
1947,"Sugarberry, Netleaf hackberry, Texan sugarberry, Sugar  Hackberry",Celtis laevigata,DM,N
1948,"Palo Blanco, Lindheimer's hackberry",Celtis lindheimeri,DM,N
1949,"Paloblanco, Netleaf hackberry",Celtis reticulata,DM,N
1950,Chinese hackberry,Celtis sinensis,DM,N
1951,"Small Hackberry, Dwarf hackberry",Celtis tenuifolia,DM,N
1952,"Common Star Thistle, Red star-thistle",Centaurea calcitrapa,DM,N
1953,"Cornflower, Garden cornflower, Blue Bottle, Cornflower",Centaurea cyanus,DM,N
1954,Iranian knapweed,Centaurea depressa,DM,N
1955,,Centaurea raphanina,DM,N
1956,"Centaury - Feverwort, European centaury",Centaurium erythraea,DM,SN
1957,Spiked centaury,Centaurium spicatum,DM,SN
1958,Spreading Sneeze Weed,Centipeda minima,M,SN
1959,Yellow tarara,Centrolobium microchaete,DM,SN
1960,"Centro, Butterfly pea",Centrosema pubescens,MWe,FSN
1961,Chinese Plum Yew,Cephalotaxus fortunei,M,FSN
1962,Japanese Plum Yew,Cephalotaxus harringtonia drupacea,M,FS
1963,Korean Plum Yew,Cephalotaxus harringtonia koreana,M,FS
1964,Japanese Plum Yew,Cephalotaxus harringtonia nana,M,FS
1965,Chinese Plum Yew,Cephalotaxus sinensis,M,FS
1966,"Chickweed, Common mouse-ear chickweed, Big chickweed",Cerastium fontanum,M,S
1967,Common Mouse-Ear Chickweed,Cerastium holosteoides,M,N
1968,sticky chickweed,Cerastium viscosum,M,N
1969,"Carob, St. john's bread",Ceratonia siliqua,DM,N
1970,"Chinese Plumbago, Chinese Leadwort",Ceratostigma willmottianum,DM,N
1971,Paloverde. Foothill palo verde. Small-leaved palo verde,Cercidium microphyllum,DM,N
1972,Chinese Redbud,Cercis chinensis,M,N
1973,"Hildmania cactus, Hedge cactus",Cereus hildmannianus,DM,N
1974,Peruvian apple cactus,Cereus repandus,DM,N
1975,Chinese Quince,Chaenomeles cathayensis,M,SN
1976,"Dwarf Quince, Maule's quince, Japanese Flowering Quince",Chaenomeles japonica,M,FSN
1977,"Japanese Quince, Flowering quince",Chaenomeles speciosa,M,FSN
1978,California Quince,Chaenomeles x californica,M,SN
1979,"Diola, Diala",Chamaecrista nigricans,M,N
1980,Round-leaf cassia,Chamaecrista rotundifolia,DM,SN
1981,"Lawson Cypress, Port orford cedar, Oregon Cedar, Port Orford Cedar, Lawson's Cypress",Chamaecyparis lawsoniana,DM,SN
1982,"Nootka Cypress, Nootka Cypress, Yellow Cypress, Alaska  Cedar",Chamaecyparis nootkatensis,DM,SN
1983,Japanese cypress,Chamaecyparis obtusa,M,N
1984,Sawara cypress,Chamaecyparis pisifera,M,SN
1985,"White Cypress, Atlantic white cedar, Coast White Cedar, Southern White Cedar, White Cypress",Chamaecyparis thyoides,DMWe,SN
1986,"Pacaya Palm, Palmito dulce",Chamaedorea tepejilote,M,FS
1987,Ressurection Fern,Cheilanthes pteridioides,M,SN
1988,"Greater Celandine, Swallow Wort, Greater Celandine",Chelidonium majus,M,FSN
1989,"Fat Hen, Lambsquarters",Chenopodium album,M,N
1990,Wormseed,Chenopodium ambrosioides anthelminticum,M,N
1991,Good King Henry,Chenopodium bonus-henricus,M,N
1992,California Goosefoot,Chenopodium californicum,DM,N
1993,Crested Goosefoot,Chenopodium cristatum,M,N
1994,Fig-Leaved Goosefoot,Chenopodium ficifolium,M,N
1995,Leafy goosefoot,Chenopodium foliosum,M,N
1996,Tree Spinach,Chenopodium giganteum,M,N
1997,Foetid Goosefoot,Chenopodium graveolens,M,N
1998,Cañihua,Chenopodium pallidicaule,DM,N
1999,Desert Goosefoot,Chenopodium pratericola,M,N
2000,"Quinoa, Goosefoot, Pigweed, Inca Wheat",Chenopodium quinoa,M,N
2001,,Chenopodium schraderianum,M,N
2002,Mapleleaf goosefoot,Chenopodium simplex,M,N
2003,,Chenopodium suecicum,M,N
2004,City goosefoot,Chenopodium urbicum,M,N
2005,Stinking Goosefoot. Arrach - Wormseed,Chenopodium vulvaria,M,N
2006,,Chiliotrichum diffusum,DM,N
2007,Winter Sweet,Chimonanthus praecox,M,N
2008,"West Indian Snow Berry, David's rot, Skunk-root, Snowberry.",Chiococca alba,M,N
2009,"Fringe Tree, White fringetree, Old Man's Beard, Fringe Tree",Chionanthus virginicus,M,SN
2010,,Chionographis japonica,M,S
2011,Smallflower Soapplant,Chlorogalum parviflorum,DM,SN
2012,East Indian Satinwood,Chloroxylon swietenia,M,N
2013,"Chondrilla, Sha di fen bao ju",Chondrilla ambigua,DM,N
2014,,Chondrilla chondrilloides,DM,N
2015,,Chorispora sabulosa,DM,SN
2016,,Chrozophora obliqua,M,SN
2017,"Tricolor Chrysanthemum, Painted Daisy, Summer Chrysanthemum",Chrysanthemum carinatum,M,SN
2018,Chop-Suey Greens,Chrysanthemum coronarium,M,SN
2019,Chop-Suey Greens,Chrysanthemum coronarium spatiosum,M,SN
2020,Corn Marigold,Chrysanthemum segetum,M,SN
2021,"Coco Plum, Paradise Plum",Chrysobalanus icaco,M,SN
2022,"Golden-knee, Green and Gold, or Goldenstar",Chrysogonum virginianum,DM,FSN
2023,"Golden Chinquapin, Giant chinquapin",Chrysolepis chrysophylla,M,S
2024,"Star Apple, Caimito",Chrysophyllum cainito,M,N
2025,Rubber Rabbitbrush,Chrysothamnus graveolens,DM,N
2026,"Chickrassy, Chittagong Wood, Indian Redwood.",Chukrasia tabularis,M,N
2027,Culeu,Chusquea culeou,M,S
2028,Scythian Lamb,Cibotium barometz,M,SN
2029,Chick Pea,Cicer arietinum,DM,N
2030,,Cicer microphyllum,DM,N
2031,"Chicory, Radicchio, Succory, Witloof",Cichorium intybus,M,N
2032,"Cowbane, Mackenzie's water hemlock",Cicuta virosa,MWe,SN
2033,Ciliosemina,Ciliosemina pedunculata,M,N
2034,Foetid Bugbane,Cimicifuga foetida,M,S
2035,,Cimicifuga simplex,M,S
2036,"Peruvian Bark, Quinine",Cinchona calisaya,M,SN
2037,Huannco,Cinchona micrantha,M,SN
2038,"Quinine tree, Red Bark, Cinchona, Quina, Quinquina, Quinine Bark, Peruvian Bark, Jesuit's Bark",Cinchona pubescens,M,SN
2039,"Camphor, Camphortree",Cinnamomum camphora,M,SN
2040,"Cinnamon, Ceylon Cinnamon Tree",Cinnamomum verum,M,SN
2041,Stemless Thistle,Cirsium acaulon,M,N
2042,"Creeping Thistle, Canada thistle",Cirsium arvense,M,N
2043,Wooly Thistle,Cirsium eriophorum,M,N
2044,Elk thistle,Cirsium foliosum,MWe,N
2045,,Cirsium maackii,M,N
2046,"Cobwebby Thistle, Snowy thistle, Compact cobwebby thistle",Cirsium occidentale,DM,N
2047,Cabbage Thistle,Cirsium oleraceum,MWe,SN
2048,Marsh Thistle,Cirsium palustre,MWe,SN
2049,Tuberous Thistle,Cirsium tuberosum,M,N
2050,,Cirsium verutum,M,N
2051,"Common Thistle, Bull thistle, Dodder, Boar Thistle, Bull Thistle",Cirsium vulgare,M,N
2052,Veldt Grape,Cissus quadrangularis,DM,N
2053,"Rock Rose, Cretan rockrose",Cistus creticus,DM,N
2054,"Labdanum, Common gum cistus",Cistus ladanifer,DM,N
2055,Calamondin Orange,Citrofortunella microcarpa,M,N
2056,"Citrumelo,  Citroncirus, Citrange",Citroncirus,M,N
2057,Citrange,Citroncirus webberi,M,N
2058,Water Melon,Citrullus lanatus,DM,N
2059,"Lime, Key Lime, Mexican Lime, Mexican Thornless Key Lime",Citrus aurantiifolia,M,N
2060,Kaffir Lime,Citrus hystrix,M,N
2061,Citrus Tahitian Lime,Citrus latifolia,M,S
2062,Lemon,Citrus limon,M,N
2063,"Mandarin, Tangerine, Unshu orange, Satsuma Orange,Temple Orange, Tangerine",Citrus reticulata,M,N
2064,Sweet Orange,Citrus sinensis,M,N
2065,"Saw Grass, Swamp sawgrass, Jamaica swamp sawgrass",Cladium mariscus,MWe,SN
2066,"Yellow Wood, Virgilia, American Yellow Wood",Cladrastis lutea,M,N
2067,"Tulpay, Murur",Clarisia racemosa,M,SN
2068,"Elegant Fairyfan, Elegant clarkia",Clarkia unguiculata,DM,N
2069,"Pale Spring Beauty, Serpentine springbeauty",Claytonia exigua,DM,FSN
2070,"Lanceleaf Spring Beauty, Idaho springbeauty,  Pacific springbeauty,  Peirson's springbeauty",Claytonia lanceolata,M,N
2071,Miner's Lettuce,Claytonia perfoliata,DM,FSN
2072,"Pink Purslane, Siberian springbeauty",Claytonia sibirica,DM,FSN
2073,"Spring Beauty, Virginia springbeauty, Hammond's claytonia, Yellow Virginia springbeauty",Claytonia virginica,M,S
2074,Wei Ling Xian,Clematis chinensis,M,SN
2075,Hairy Clematis,Clematis douglasii,M,SN
2076,"Sennin-So, Sweet autumn virginsbower, Sweet Autumn Clematis, Fall  Clematis",Clematis terniflora,M,SN
2077,Rocky Mountain Beeplant,Cleome serrulata,DM,SN
2078,"Glory Flower, Rose glorybower, Cashmere Bouquet, Mexican Hydrangea, Glory Bower",Clerodendrum bungei,M,N
2079,"Chou Wu Tong, Harlequin glorybower, Ferruginous clerodendrum, Harlequin Glory Bower",Clerodendrum trichotomum,M,N
2080,,Clethra barbinervis,M,SN
2081,"Ironwood, Buckwheat tree",Cliftonia monophylla,M,N
2082,,Clinopodium chinense,M,SN
2083,Glade calamint,Clinopodium glabellum,MWe,SN
2084,,Clinopodium umbrosum,M,SN
2085,Wild Basil,Clinopodium vulgare,M,SN
2086,,Clintonia udensis,M,FS
2087,"Speckled Wood Lily, White clintonia",Clintonia umbellulata,M,FS
2088,"Tree Spinach, Tread Softly, Cabbage Star, Chaya",Cnidoscolus aconitifolius,M,SN
2089,Highland chilte,Cnidoscolus elasticus,DM,N
2090,Queen coralbead,Cocculus orbiculatus,M,SN
2091,"Coconut Palm, Coconut",Cocos nucifera,M,N
2092,,Codonopsis javanica,M,SN
2093,Todok,Codonopsis lanceolata,M,SN
2094,"Dang Shen, Bellflower",Codonopsis pilosula,M,SN
2095,Chuan Dang,Codonopsis tangshen,M,SN
2096,,Coelopleurum lucidum,M,N
2097,Coffee Arabica,Coffea arabica,M,SN
2098,"Cola Nut, Kola, Bissy Nut",Cola acuminata,M,N
2099,"Cola Nut, Kola, Bissy Nuts",Cola nitida,DM,SN
2100,,Colchicum bivonae,M,N
2101,,Colletia armata,DM,SN
2102,,Colletia paradoxa,M,N
2103,"Stone Root - Horse Balm,  Richweed",Collinsonia canadensis,MWe,S
2104,"Rhodesian ironwood, Rhodesian mahogany",Colophospermum mopane,MWe,SN
2105,,Coluria geoides,M,SN
2106,Pale Bastard Toadflax,Comandra pallida,M,N
2107,"Slender Day-Flower, Whitemouth dayflower",Commelina erecta,DM,SN
2108,Whitemouth Dayflower,Commelina erecta angustifolia,DM,SN
2109,Commelina,Commelina tuberosa,DM,SN
2110,"Guggul, Indian bdellium-tree",Commiphora wightii,DM,N
2111,Sweet Fern,Comptonia peregrina asplenifolia,DM,SN
2112,,Conanthera campanulata,M,N
2113,Pacific Hemlock-Parsley,Conioselinum pacificum,M,N
2114,Pignut,Conopodium majus,M,SN
2115,Cumberland Rosemary,Conradina verticillata,M,N
2116,"Larkspur, Doubtful knight's-spur, Rocket Larkspur",Consolida ambigua,M,SN
2117,Lily Of The Valley,Convallaria keiskei,DMWe,FSN
2118,"Lily Of The Valley,  European lily of the valley",Convallaria majalis,DMWe,FSN
2119,"Canada Fleabane, Canadian horseweed",Conyza canadensis,DM,SN
